country,customer_id,boxes_taken,activation_channel,state,recipe_score_count,recipe_score_freq,app_uses,app_store
AU,412,20,C,L,75,0,20,itunes
AU,413,105,C,C,50,0.6,20,itunes
AU,414,75,F,C,45,0.333333333,10,itunes
AU,415,65,A,C,60,0.333333333,0,itunes
AU,416,240,F,L,75,0.333333333,25,google
AU,417,40,C,L,45,0.666666667,15,google
AU,418,25,N/A,L,65,0,30,itunes
AU,419,85,B,N,45,0,20,itunes
AU,420,95,A,L,45,0.333333333,15,itunes
AU,421,90,A,L,45,1,20,itunes
AU,422,120,C,N,50,0,55,google
AU,423,70,F,L,45,0,5,itunes
AU,424,25,C,N,45,0.444444444,25,itunes
AU,425,40,C,N,45,0,30,itunes
AU,426,50,C,C,45,0,0,
AU,427,30,E,W,60,0,20,itunes
AU,428,15,C,S,55,0,55,google
AU,429,220,A,A,45,0,25,itunes
AU,430,25,B,N,45,0,25,itunes
AU,431,15,C,L,45,0,35,google
AU,432,140,F,C,75,0,5,itunes
AU,433,180,C,N,45,1,20,itunes
AU,434,25,F,N,75,0,0,
AU,435,75,A,L,65,0.923076923,65,google
AU,436,180,C,C,60,0,15,itunes
AU,437,210,,L,75,0,35,itunes
AU,438,30,,C,45,0.111111111,5,itunes
AU,439,70,,N,60,0.916666667,30,itunes
AU,440,35,,L,60,0,0,
AU,441,50,,C,75,0,0,
AU,442,130,,S,45,0.333333333,25,itunes
AU,443,40,,L,45,0,25,google
AU,444,145,,L,75,0,20,itunes
AU,445,65,A,N,60,0.25,25,google
AU,446,25,C,A,65,0.076923077,15,google
AU,447,100,C,C,50,0,175,itunes
AU,448,50,C,C,75,0,85,google
AU,449,15,F,C,45,0,20,itunes
AU,450,20,C,N,45,0,55,itunes
AU,451,45,F,L,45,0,15,itunes
AU,452,25,C,S,65,0.307692308,65,google
AU,453,20,F,N,50,0,25,itunes
AU,454,15,A,N,50,0,20,google
AU,455,85,E,L,50,0.5,20,itunes
AU,456,15,E,N,45,0,20,itunes
AU,457,235,F,T,60,0,10,itunes
AU,458,20,C,N,65,0,70,google
AU,459,45,F,N,45,0,30,itunes
AU,460,20,A,N,60,0,5,itunes
AU,461,25,G,L,45,0.333333333,20,itunes
AU,462,65,G,C,60,0,20,itunes
AU,463,15,A,C,45,0,0,
AU,464,195,B,W,45,0,25,itunes
AU,465,45,F,C,60,0,0,
AU,466,40,C,C,60,0,10,itunes
AU,467,15,C,L,55,0,0,
AU,468,15,C,L,75,0.066666667,40,itunes
AU,469,200,C,S,45,0,0,google
AU,470,25,A,N,55,0.363636364,20,itunes
AU,471,35,F,N,45,0,5,itunes
AU,472,30,A,N,55,0,30,itunes
AU,473,60,B,W,75,0.133333333,35,itunes
AU,474,20,A,L,60,0,10,google
AU,475,45,F,N,75,0,20,google
AU,476,20,A,N,70,0,25,google
AU,477,15,C,L,45,0,35,google
AU,478,15,C,L,50,0,10,itunes
AU,479,90,C,N,60,0,40,itunes
AU,480,115,F,L,75,0.133333333,20,google
AU,481,80,C,L,65,0,25,itunes
AU,482,55,N/A,C,60,0,5,google
AU,483,15,C,N,75,0,50,google
AU,484,40,A,L,55,0.272727273,40,itunes
AU,485,15,C,L,60,0,0,
AU,486,265,C,C,45,0,15,itunes
AU,487,20,A,N,75,0,50,google
AU,488,70,C,S,45,0,25,google
AU,489,50,C,N,65,0.538461538,80,itunes
AU,490,90,B,N,75,0,30,itunes
AU,491,50,A,S,75,0,0,
AU,492,35,F,N,75,0,20,itunes
AU,493,170,G,N,60,0.5,15,itunes
AU,494,25,C,C,75,0,75,itunes
AU,495,245,C,L,50,0,0,itunes
AU,496,180,F,L,45,0,5,google
AU,497,25,B,L,45,0,75,itunes
AU,498,45,B,S,75,0,30,itunes
AU,499,60,C,C,55,0,25,itunes
AU,500,45,C,W,55,0,95,itunes
AU,501,50,F,N,60,0,0,
AU,502,55,C,T,65,0,35,google
AU,503,65,C,T,75,0.6,20,itunes
AU,504,125,C,N,75,1,25,itunes
AU,505,30,D,W,65,0,135,itunes
AU,506,30,B,W,45,0,30,itunes
AU,507,75,F,L,75,0,0,
AU,508,40,A,N,75,0,0,
AU,509,75,A,C,75,0,40,itunes
AU,510,40,E,N,60,0.083333333,20,itunes
AU,511,120,B,C,45,0,55,itunes
AU,512,150,F,C,45,0,5,google
AU,513,25,F,N,45,0,0,
AU,514,105,C,N,75,0.066666667,20,itunes
AU,515,150,F,N,60,0,10,itunes
AU,516,60,G,N,75,0,15,google
AU,517,40,B,L,45,0,70,itunes
AU,518,140,C,N,75,0.666666667,0,
AU,519,15,A,N,45,0,25,itunes
AU,520,20,F,W,75,0,25,itunes
AU,521,165,C,N,65,0,25,itunes
AU,522,45,C,S,60,0,0,itunes
AU,523,20,F,L,60,0,20,itunes
AU,524,40,N/A,L,75,0.333333333,10,google
AU,525,15,A,L,75,0,20,itunes
AU,526,15,D,L,45,0,15,itunes
AU,527,15,C,L,75,0,0,
AU,528,75,A,C,60,0.333333333,15,itunes
AU,529,140,C,N,60,0,10,itunes
AU,530,65,C,C,45,0.111111111,5,itunes
AU,531,65,A,L,55,0,35,itunes
AU,532,70,C,L,75,0,95,itunes
AU,533,25,C,C,65,0,25,itunes
AU,534,240,C,C,55,0,0,itunes
AU,535,45,C,N,45,0,25,itunes
AU,536,15,C,S,75,0.333333333,25,itunes
AU,537,45,G,L,70,0,20,itunes
AU,538,80,E,A,75,0,25,itunes
AU,539,30,A,C,45,0,25,itunes
AU,540,50,C,L,60,0,30,itunes
AU,541,35,B,T,60,0.5,25,itunes
AU,542,50,C,L,60,0,25,itunes
AU,543,35,C,C,75,0,25,google
AU,544,15,C,C,60,0.333333333,25,itunes
AU,545,20,C,L,75,0,25,itunes
AU,546,60,F,N,45,0,25,itunes
AU,547,105,D,C,55,0,25,itunes
AU,548,25,C,L,75,0.333333333,30,itunes
AU,549,35,B,C,70,0.142857143,110,google
AU,550,20,A,C,45,0.333333333,20,itunes
AU,551,75,C,C,75,0,20,google
AU,552,80,F,C,70,0,45,itunes
AU,553,25,C,T,45,0,20,itunes
AU,554,15,C,C,60,0,40,google
AU,555,45,B,N,45,0.111111111,30,itunes
AU,556,135,A,L,45,0.111111111,0,itunes
AU,557,45,A,N,45,0,30,itunes
AU,558,195,C,T,45,0,35,itunes
AU,559,35,A,L,45,0.333333333,10,itunes
AU,560,235,C,C,N/A,0,15,itunes
AU,561,40,C,L,45,0,15,itunes
AU,562,65,C,C,60,0,35,itunes
AU,563,45,A,L,45,0,30,itunes
AU,564,20,C,L,45,0,30,itunes
AU,565,15,C,N,45,0,15,itunes
AU,566,15,C,C,60,0,5,google
AU,567,135,F,L,60,0,45,itunes
AU,568,15,C,A,45,0,15,itunes
AU,569,15,C,L,45,0,0,
AU,570,35,B,C,55,0,20,itunes
AU,571,50,C,C,-45,0,20,google
AU,572,190,F,N,75,0,10,google
AU,573,35,B,A,75,0,40,itunes
AU,574,110,F,L,65,1,40,itunes
AU,575,115,A,N,50,0,15,google
AU,576,50,C,C,45,0,30,itunes
AU,577,20,B,W,60,0,45,itunes
AU,578,55,C,W,45,0.333333333,20,itunes
AU,579,50,F,N,75,0.333333333,20,itunes
AU,580,90,C,C,60,0,25,itunes
AU,581,30,C,C,55,0,0,
AU,582,25,C,N,55,0,25,itunes
AU,583,45,F,N,50,0,20,itunes
AU,584,60,C,T,45,0,10,itunes
AU,585,100,C,L,60,0,15,itunes
AU,586,15,B,N,70,0,45,itunes
AU,587,95,C,C,60,0.333333333,25,itunes
AU,588,30,B,N,45,0,55,itunes
AU,589,50,F,N,60,0,15,itunes
AU,590,20,A,L,45,0,25,itunes
AU,591,20,D,N,45,0,45,itunes
AU,592,20,C,L,55,0,10,itunes
AU,593,20,F,L,45,0.333333333,30,itunes
AU,594,15,F,A,75,0,30,itunes
AU,595,115,B,W,80,0.0625,25,google
AU,596,15,F,C,45,0,20,itunes
AU,597,45,C,T,55,0,25,itunes
AU,598,15,A,C,45,0,30,itunes
AU,599,20,D,N,45,0.222222222,30,google
AU,600,15,C,L,45,0,30,itunes
AU,601,145,B,C,75,0,50,itunes
AU,602,30,C,C,75,0,30,itunes
AU,603,15,C,L,65,0,35,google
AU,604,25,A,T,75,0,0,
AU,605,15,C,N,45,0,0,itunes
AU,606,135,F,S,45,0,30,itunes
AU,607,45,B,N,75,0,15,itunes
AU,608,30,N/A,L,50,0.4,60,google
AU,609,30,G,S,60,0,10,itunes
AU,610,30,A,N,75,0.333333333,20,itunes
AU,611,55,C,W,45,0.888888889,5,itunes
AU,612,15,C,N,55,0,0,
AU,613,50,C,L,70,0,50,itunes
AU,614,20,A,S,45,0.222222222,55,itunes
AU,615,20,G,N,45,0,0,
AU,616,15,F,L,45,0,10,google
AU,617,20,A,C,60,0,20,itunes
AU,618,50,B,N,60,0,20,itunes
AU,619,220,C,L,60,0,55,itunes
AU,620,140,G,N,45,0,20,itunes
AU,621,20,D,L,60,0,35,itunes
AU,622,40,C,L,50,0,45,google
AU,623,35,C,T,50,0,40,itunes
AU,624,15,A,W,45,0,110,itunes
AU,625,40,C,C,45,0,15,itunes
AU,626,20,C,W,55,0,0,
AU,627,15,C,L,45,0,5,google
AU,628,20,C,N,75,0,25,itunes
AU,629,110,C,L,55,0.272727273,35,itunes
AU,630,25,C,C,45,0,55,itunes
AU,631,55,B,L,60,0,75,itunes
AU,632,165,F,S,45,0.333333333,25,itunes
AU,633,205,A,L,45,0,25,itunes
AU,634,30,C,N,60,0.833333333,0,
AU,635,70,E,N,45,0,40,itunes
AU,636,15,G,C,45,0,35,itunes
AU,637,75,C,C,70,0.357142857,30,itunes
AU,638,160,A,L,45,0.333333333,15,itunes
AU,639,40,C,L,75,0,30,itunes
AU,640,20,B,N,60,0,35,itunes
AU,641,35,C,C,55,0,10,itunes
AU,642,20,C,L,60,0.5,0,
AU,643,15,A,N,60,0,25,itunes
AU,644,25,C,L,60,0.5,5,itunes
AU,645,100,B,N,75,0.866666667,30,itunes
AU,646,125,F,N,75,0.2,60,itunes
AU,647,15,A,L,45,0,10,google
AU,648,15,C,N,75,0.333333333,40,itunes
